 H V C R G B
919 2.5P 1.0 8 46.437024530519 8.66236421854951 69.1032723449332
937 5P 1.0 2 37.059118886099064 23.66931015440759 43.2048749720302
938 5P 1.0 4 41.98086066124497 19.380691025656866 51.052406802996835
939 5P 1.0 6 46.63876166358086 13.748100399061926 58.14030737103396
940 5P 1.0 8 51.550620701390194 4.831472124336015 65.4567845533947
953 7.5P 1.0 2 38.62340548145134 23.11439251735061 42.21161810269411
954 7.5P 1.0 4 44.22740216215082 18.362120718114703 49.39288308924444
955 7.5P 1.0 6 49.402213426293066 11.966949075533513 55.93571829992739
956 7.5P 1.0 8 54.8804655726105 2.056611951052478 62.79138899125231
966 10P 1.0 2 40.06741302708584 22.614658865941703 40.984531393950455
967 10P 1.0 4 46.14495020273772 17.494205677095323 47.51827929707177
968 10P 1.0 6 51.82715207586639 10.15937663681174 53.75295978351205
978 2.5RP 1.0 2 41.34871977081089 22.195796140452106 39.54206071497471
979 2.5RP 1.0 4 48.11406606398883 16.50324148096777 45.487117111721304
980 2.5RP 1.0 6 54.15251545705991 8.395107774530086 51.034111528541274
989 5RP 1.0 2 42.6699907137357 21.813430187818362 37.51909497180631
990 5RP 1.0 4 50.19735660517073 15.50622800510415 42.50370056484468
991 5RP 1.0 6 56.74321627107132 6.468472952149995 47.25651267023715
999 7.5RP 1.0 2 43.68039725216977 21.526108004562285 35.73569813748976
1000 7.5RP 1.0 4 51.79537850804217 14.76346815664907 39.587692239388865
1001 7.5RP 1.0 6 58.96843149340413 4.786085291163055 43.3938705825397
1007 10RP 1.0 2 44.54470291393723 21.342405961029733 33.642525760218724
1008 10RP 1.0 4 53.101924346684065 14.255494517283285 36.333194928418514
1009 10RP 1.0 6 60.691515653883556 3.665311961529735 39.25214620894702
1015 2.5R 1.0 2 45.287201076234446 21.232822553860274 31.335220447229528
1016 2.5R 1.0 4 54.3289121979231 13.819154786370435 32.573093949913705
1017 2.5R 1.0 6 62.69760900919758 2.1417832038394162 34.21577663546369
1022 5R 1.0 2 45.89122043044097 21.190293221839486 28.935485216772026
1023 5R 1.0 4 55.31491457879555 13.557940092793737 28.57117868799094
1024 5R 1.0 6 64.03505015117038 1.465569143510942 28.67163151934707
1028 7.5R 1.0 2 46.160073986753474 21.294146186822623 26.817335511314063
1029 7.5R 1.0 4 56.00120949194461 13.502012918372756 24.590075211779045
1030 7.5R 1.0 6 64.9998757080903 1.1007463016619679 23.125163992332546
1034 10R 1.0 2 46.18285694420294 21.551938915127728 24.51773903933967
1035 10R 1.0 4 56.710627300688046 13.413190739471071 19.904913148798688
1036 10R 1.0 6 65.2551845710876 1.7866996692303914 16.440693502248138
1040 2.5YR 1.0 2 45.70729085078591 22.19757209745716 21.12097225931445
1041 2.5YR 1.0 4 56.92985252375325 14.083406758385257 11.754971999607724
1042 2.5YR 1.0 6 64.87765746710144 3.6848819229320995 4.762639463919263
1046 5YR 1.0 2 44.67679342747724 23.147110569512595 17.112543192326203
1047 5YR 1.0 4 55.606183157624926 16.246406375648775 1.230573208173907
1051 7.5YR 1.0 2 43.38018920913344 24.076258268758878 14.033286158454043
1054 10YR 1.0 2 41.64060000962505 25.140841409306823 10.958327945103255
1056 2.5Y 1.0 2 38.94447717094391 26.480394100239238 8.92476303111899
1058 5Y 1.0 2 36.6074365692901 27.443934711072945 8.938806444492378
1060 7.5Y 1.0 2 34.027956213687936 28.340334330830295 10.384107513786507
1062 10Y 2.0 2 52.56251057709714 49.68713557994303 35.85944261187271
1063 10Y 2.0 4 54.242578173849594 50.44262272814357 7.26078347926781
1065 2.5GY 2.0 2 49.832147980783354 50.3689734799538 37.91688021002784
1066 2.5GY 2.0 4 48.55625031373444 51.94755144390331 14.417476835856204
1069 5GY 2.0 2 47.71036070504246 50.818399096929404 39.96507755359522
1070 5GY 2.0 4 42.89949604740352 53.15511105721652 21.05481394845864
1074 7.5GY 2.0 2 44.94927095314537 51.327435419422216 42.81025262870801
1075 7.5GY 2.0 4 36.12012086480939 54.263653840657256 28.43934423238547
1076 7.5GY 2.0 6 24.45423589001403 56.778406330708414 10.010630266634665
1081 10GY 2.0 2 43.04123496118878 51.63600706927085 44.81462261770477
1082 10GY 2.0 4 30.151852944545993 54.96372567185773 34.583399471897295
1083 10GY 2.0 6 10.64389211297115 57.65869825397971 23.910426135763174
1090 2.5G 2.0 2 41.177671548754944 51.90279244954738 46.81413292952808
1091 2.5G 2.0 4 24.33543885891613 55.414085559686626 40.397125727691616
1099 5G 2.0 2 39.999867733119 52.0369034403851 48.2821431351231
1100 5G 2.0 4 20.51568885506268 55.61592542741926 43.843804573159744
1108 7.5G 2.0 2 39.038380027352396 52.13097483417366 49.54164233457478
1109 7.5G 2.0 4 16.984279567263275 55.73513434581309 46.891033476312295
1117 10G 2.0 2 38.177856363144436 52.17884775592906 50.962986997861435
1118 10G 2.0 4 12.765830283641169 55.82781939617533 50.04048195011251
1126 2.5BG 2.0 2 37.21672007589281 52.213679010763165 52.634309703152404
1127 2.5BG 2.0 4 8.126780503830927 55.798014144063 53.84310594069975
1135 5BG 2.0 2 36.107070761845634 52.20499006863492 54.892384251232485
1136 5BG 2.0 4 3.131617004009146 55.63865630860753 58.68050056066307
1143 7.5BG 2.0 2 35.5276825872565 52.128104766612786 56.66392601690906
1144 7.5BG 2.0 4 0.0719922464357111 55.43492960769554 62.36022072920751
1151 10BG 2.0 2 35.1737607393688 51.97160791432628 58.66505886972095
1158 2.5B 2.0 2 35.250338556035864 51.77266107745231 60.228491618899646
1164 5B 2.0 2 35.68635136016752 51.50958721685824 61.67509595786737
1165 5B 2.0 4 2.318557567836688 53.93332379406572 72.84715086237689
1170 7.5B 2.0 2 36.570400541047796 51.12376506766897 63.29815084170062
1171 7.5B 2.0 4 10.098502624584079 52.99548858868329 75.51968944195323
1177 10B 2.0 2 38.75048107993293 50.46222901396218 64.7455820071752
1178 10B 2.0 4 18.703186652718596 51.92407376076424 77.39483950847594
1184 2.5PB 2.0 2 41.364111176001174 49.738964232955816 65.56517785288561
1185 2.5PB 2.0 4 27.601488199171655 50.51770383599145 78.62647641059571
1193 5PB 2.0 2 44.438058171819115 48.8433392729172 66.33855013705383
1194 5PB 2.0 4 35.35590938458111 48.94602175203666 79.40401956128308
1195 5PB 2.0 6 19.624669676376392 48.93182878454239 93.00217017139852
1216 7.5PB 2.0 2 48.334549510580615 47.677384862718164 66.72624157607953
1217 7.5PB 2.0 4 45.39115660676636 46.43186943006331 79.47198763469059
1218 7.5PB 2.0 6 42.24949600197958 44.73755335233002 91.9469401602081
1219 7.5PB 2.0 8 38.72793661647624 42.50537414711648 104.42048260443643
1220 7.5PB 2.0 10 37.0031119598293 39.121614308591106 116.54460569177519
1221 7.5PB 2.0 12 37.31039046826654 35.05776088414468 126.58547719067535
1222 7.5PB 2.0 14 38.67017291598693 29.524544631465176 136.66239682088198
1223 7.5PB 2.0 16 41.33825704315255 21.483795418733962 146.57788104058955
1224 7.5PB 2.0 18 44.23761392191629 7.961564528839905 156.3578801007865
1241 10PB 2.0 2 52.08757132573564 46.53143471973767 66.39049742795808
1242 10PB 2.0 4 53.31893517356902 44.16270974356384 77.79019268700178
1243 10PB 2.0 6 54.71615452680754 41.342023566385144 88.46096024800867
1244 10PB 2.0 8 56.27767640548028 37.55700561223888 99.95673216186876
1245 10PB 2.0 10 58.96948824771337 32.53259794917243 110.43439386850758
1246 10PB 2.0 12 61.894669055429155 26.566373643706438 119.38706616645274
1247 10PB 2.0 14 65.32438256341176 17.300772195863544 128.84540107291252
1248 10PB 2.0 16 69.18540782401084 1.2304605898365113 137.7366748967004
1266 2.5P 2.0 2 54.89285453904672 45.70436303250768 65.36987399442245
1267 2.5P 2.0 4 58.44877109832687 42.609847210188015 75.40440466786578
1268 2.5P 2.0 6 62.09183639957039 39.05730637061967 84.2624007320649
1269 2.5P 2.0 8 66.8840775041286 33.53511489064998 94.61638607926525
1270 2.5P 2.0 10 71.27819425690187 26.924323842744716 103.80790135261876
1271 2.5P 2.0 12 75.99810194419224 17.057051715639712 112.76720038905037
1272 2.5P 2.0 14 80.62469547419697 0.1598766828087285 121.38077015541367
1288 5P 2.0 2 57.34669123951288 44.98332178542276 64.03378509332127
1289 5P 2.0 4 62.4987110073543 41.28909501344657 72.91055026503211
1290 5P 2.0 6 67.23661218009508 37.1868018861197 80.70510322818315
1291 5P 2.0 8 73.38754603777119 30.44104470570384 90.30818104734897
1292 5P 2.0 10 78.78917777004756 22.18959644282966 98.52505124351357
1293 5P 2.0 12 84.31489003832354 7.732179164901865 106.87411988420833
1306 7.5P 2.0 2 59.364850422238746 44.391607539569435 62.60315547544918
1307 7.5P 2.0 4 65.63138832086764 40.24550007535287 70.33661585847013
1308 7.5P 2.0 6 71.33539538872446 35.495247136260296 77.46475025560565
1309 7.5P 2.0 8 78.3636981510396 27.70997538862722 86.14401478253417
1310 7.5P 2.0 10 84.67339788994299 17.07749839525299 93.92395385381002
1321 10P 2.0 2 61.16782452264043 43.87749348235265 60.95641428751366
1322 10P 2.0 4 68.28165872378432 39.363430039169145 67.56158578886122
1323 10P 2.0 6 74.94283164596706 33.89699999707871 74.00014729197423
1324 10P 2.0 8 82.7186648026497 24.97036616238362 81.78447338893695
1325 10P 2.0 10 89.53930615041605 11.966385992159521 88.52948788778625
1335 2.5RP 2.0 2 63.258782166864755 43.28123322136689 58.690278074405256
1336 2.5RP 2.0 4 71.25649438173438 38.39883408808425 63.541178376595795
1337 2.5RP 2.0 6 78.9493697929857 32.161524096133355 68.56659844575779
1338 2.5RP 2.0 8 87.82018045974729 21.49997651640036 74.80418596494218
1339 2.5RP 2.0 10 95.54846647773876 3.5544546783039923 80.50119683285891
1348 5RP 2.0 2 64.59712260931055 42.997923557466784 56.295364183955286
1349 5RP 2.0 4 73.55902542002397 37.640678024148734 59.823914508999735
1350 5RP 2.0 6 81.89434393197669 30.835102490452027 63.60353472645515
1351 5RP 2.0 8 91.33765139572259 18.890896743707387 68.44049292222718
1359 7.5RP 2.0 2 65.36168964925909 42.8924089516739 54.38784550196214
1360 7.5RP 2.0 4 75.19044238451306 37.108017535620206 56.73158316134591
1361 7.5RP 2.0 6 84.09394749404952 29.813246198746732 59.20332102939456
1362 7.5RP 2.0 8 93.8317084907615 17.054436138105444 62.45203106041794
1369 10RP 2.0 2 65.97554829925005 42.84510987073971 52.47442973324825
1370 10RP 2.0 4 76.59336192250208 36.695821487739046 53.42301964822634
1371 10RP 2.0 6 86.09675150812222 28.855475366428944 54.54281404917454
1372 10RP 2.0 8 96.03663605698713 15.27509490579898 56.244139357547894
1378 2.5R 2.0 2 66.57397449407667 42.826825607649326 50.274828655300105
1379 2.5R 2.0 4 77.83509282446761 36.44302197068349 49.345002944445106
1380 2.5R 2.0 6 87.73504040007992 28.284662570501816 48.827191376773484
1381 2.5R 2.0 8 98.22077009081967 13.394683618521995 48.69338366150509
1386 5R 2.0 2 67.01284689466685 42.87071513535786 48.076623255412215
1387 5R 2.0 4 78.62145976338664 36.45918214270235 45.11574526205224
1388 5R 2.0 6 88.76072959461243 28.266439886009497 42.52361113186366
1389 5R 2.0 8 99.67412375075293 12.813356400716591 39.868297433273405
1394 7.5R 2.0 2 67.14374498828634 43.01575969741118 46.20394208452877
1395 7.5R 2.0 4 79.02842960854896 36.68511447884954 40.85045293409075
1396 7.5R 2.0 6 89.08067438342172 28.85872622573439 35.85848087032153
1397 7.5R 2.0 8 99.40126002254685 15.397662532304013 30.802517901623236
1402 10R 2.0 2 66.91451803925719 43.371376487828655 43.886185936865616
1403 10R 2.0 4 78.91539258064688 37.26724917851454 36.05230511566092
1404 10R 2.0 6 88.8411397168148 29.91529871365789 28.43007070430421
1405 10R 2.0 8 98.93919660975978 17.78633890775115 20.206540608101932
1410 2.5YR 2.0 2 66.32853731582256 43.858018557475546 41.787484915992415
1411 2.5YR 2.0 4 78.06232156100003 38.28606932436721 31.058334985704178
1412 2.5YR 2.0 6 87.46029832534975 31.931511040016996 19.393303061832523
1413 2.5YR 2.0 8 96.91148955513799 22.34595768864442 1.1537228414857914
1418 5YR 2.0 2 65.19018568495513 44.59981355965453 39.444979049777835
1419 5YR 2.0 4 75.8549955706061 40.103505947309294 25.193270531383494
1420 5YR 2.0 6 84.34703151478742 35.21101728234695 4.920422323810244
1423 7.5YR 2.0 2 63.663406109009536 45.4631455671643 37.24264288043775
1424 7.5YR 2.0 4 72.93633685882035 42.09030312869625 19.81114469405428
1427 10YR 2.0 2 61.88057983986534 46.342822082497925 35.60759980822984
1428 10YR 2.0 4 70.01489141054957 43.837582474563284 14.90762957007895
1431 2.5Y 2.0 2 59.513713897975954 47.37650676307259 34.31153554800374
1432 2.5Y 2.0 4 66.43102830240645 45.72261975138841 9.348588669851646
1435 5Y 2.0 2 57.29507527978523 48.219943312121046 34.02701192283076
1436 5Y 2.0 4 62.9122520265411 47.33249315549179 5.732557016828276
1438 7.5Y 2.0 2 54.86258418882111 49.02160607019875 34.66352894374103
1439 7.5Y 2.0 4 58.802029695264395 48.95020899469369 4.526371893317227
1441 10Y 3.0 2 76.30273374574473 72.6366759844706 55.83212871815849
